"jurisdiction","report_year","total_robberies"
"Miami","1984",5705
"Miami","1985",5768
"Miami","1986",5767
"Miami","1987",5594
"Miami","1988",6398
"Miami","1989",7289
"Miami","1990",8172
"Miami","1991",8477
"Miami","1992",7065
"Miami","1993",7082
"Miami","1994",5841
"Miami","1995",5676
"Miami","1996",5139
"Miami","1997",4517
"Miami","1998",3797
"Miami","1999",3076
"Miami","2000",3077
"Miami","2001",2719
"Miami","2002",2706
"Miami","2003",2928
"Miami","2004",2367
"Miami","2005",2019
"Miami","2006",2111
"Miami","2007",2537
"Miami","2008",2415
"Miami","2009",2094
"Miami","2010",1856
"Miami","2011",2002
"Miami","2012",2096
"Miami","2013",2216
"Miami","2014",1790
"Miami","2015",1681
"Miami-Dade County","1975",2426
"Miami-Dade County","1976",1939
"Miami-Dade County","1977",2161
"Miami-Dade County","1978",2431
"Miami-Dade County","1979",3232
"Miami-Dade County","1980",5698
"Miami-Dade County","1981",5526
"Miami-Dade County","1982",5131
"Miami-Dade County","1983",4800
"Miami-Dade County","1984",4559
"Miami-Dade County","1985",4604
"Miami-Dade County","1986",5798
"Miami-Dade County","1987",5850
"Miami-Dade County","1988",5759
"Miami-Dade County","1989",7877
"Miami-Dade County","1990",8368
"Miami-Dade County","1991",8635
"Miami-Dade County","1992",7488
"Miami-Dade County","1993",7878
"Miami-Dade County","1994",7021
"Miami-Dade County","1995",6406
"Miami-Dade County","1996",6348
"Miami-Dade County","1997",5273
"Miami-Dade County","1998",4195
"Miami-Dade County","1999",3478
"Miami-Dade County","2000",3516
"Miami-Dade County","2001",3260
"Miami-Dade County","2002",3198
"Miami-Dade County","2003",3019
"Miami-Dade County","2004",2281
"Miami-Dade County","2005",2341
"Miami-Dade County","2006",2356
"Miami-Dade County","2007",2679
"Miami-Dade County","2008",2552
"Miami-Dade County","2009",2314
"Miami-Dade County","2010",1782
"Miami-Dade County","2011",1848
"Miami-Dade County","2012",1686
"Miami-Dade County","2013",1861
"Miami-Dade County","2014",1835
"Miami-Dade County","2015",1661
"Milwaukee","1975",1968
"Milwaukee","1976",1621
"Milwaukee","1977",1389
"Milwaukee","1978",1212
"Milwaukee","1979",1592
"Milwaukee","1980",1796
"Milwaukee","1981",1806
"Milwaukee","1982",2087
"Milwaukee","1983",2198
"Milwaukee","1984",1871
"Milwaukee","1985",2086
"Milwaukee","1986",2207
"Milwaukee","1987",1984
"Milwaukee","1988",2111
"Milwaukee","1989",2415
"Milwaukee","1990",4146
"Milwaukee","1991",4252
"Milwaukee","1992",4334
"Milwaukee","1993",4022
"Milwaukee","1994",4017
"Milwaukee","1995",3650
"Milwaukee","1996",3353
"Milwaukee","1997",3553
"Milwaukee","1998",2970
"Milwaukee","1999",3134
"Milwaukee","2000",3021
"Milwaukee","2001",2913
"Milwaukee","2002",3197
"Milwaukee","2003",2868
"Milwaukee","2004",2551
"Milwaukee","2005",2937
"Milwaukee","2006",3606
"Milwaukee","2007",3535
"Milwaukee","2008",3244
"Milwaukee","2009",3177
"Milwaukee","2010",2943
"Milwaukee","2011",3091
"Milwaukee","2012",3097
"Milwaukee","2013",3284
"Milwaukee","2014",3555
"Milwaukee","2015",3749
"Minneapolis","1975",1838
"Minneapolis","1976",1407
"Minneapolis","1977",1652
"Minneapolis","1978",1688
"Minneapolis","1979",1988
"Minneapolis","1980",2267
"Minneapolis","1981",2296
"Minneapolis","1982",2583
"Minneapolis","1983",2001
"Minneapolis","1984",1740
"Minneapolis","1985",2326
"Minneapolis","1986",2801
"Minneapolis","1987",2866
"Minneapolis","1988",2565
"Minneapolis","1989",2524
"Minneapolis","1990",2558
"Minneapolis","1991",2610
"Minneapolis","1992",3075
"Minneapolis","1993",3178
"Minneapolis","1994",3444
"Minneapolis","1995",3550
"Minneapolis","1996",3242
"Minneapolis","1997",3308
"Minneapolis","1998",2371
"Minneapolis","1999",2096
"Minneapolis","2000",1948
"Minneapolis","2001",1943
"Minneapolis","2002",1794
"Minneapolis","2003",2192
"Minneapolis","2004",2248
"Minneapolis","2005",2584
"Minneapolis","2006",3028
"Minneapolis","2007",2520
"Minneapolis","2008",2005
"Minneapolis","2009",1663
"Minneapolis","2010",1596
"Minneapolis","2011",1589
"Minneapolis","2012",1719
"Minneapolis","2013",1856
"Minneapolis","2014",1871
"Minneapolis","2015",1896
"Montgomery County","1975",578
"Montgomery County","1976",564
"Montgomery County","1977",484
"Montgomery County","1978",530
"Montgomery County","1979",560
"Montgomery County","1980",798
"Montgomery County","1981",872
"Montgomery County","1982",682
"Montgomery County","1983",625
"Montgomery County","1984",591
"Montgomery County","1985",675
"Montgomery County","1986",648
"Montgomery County","1987",683
"Montgomery County","1988",782
"Montgomery County","1989",835
"Montgomery County","1990",807
"Montgomery County","1991",979
"Montgomery County","1992",930
"Montgomery County","1993",842
"Montgomery County","1994",869
"Montgomery County","1995",1015
"Montgomery County","1996",983
"Montgomery County","1997",841
"Montgomery County","1998",712
"Montgomery County","1999",654
"Montgomery County","2000",708
"Montgomery County","2001",818
"Montgomery County","2002",877
"Montgomery County","2003",1004
"Montgomery County","2004",789
"Montgomery County","2005",1035
"Montgomery County","2006",1166
"Montgomery County","2007",1096
"Montgomery County","2008",1100
"Montgomery County","2009",992
"Montgomery County","2010",911
"Montgomery County","2011",840
"Montgomery County","2012",829
"Montgomery County","2013",758
"Montgomery County","2014",620
"Montgomery County","2015",606
"Nashville","1975",2003
"Nashville","1976",1722
"Nashville","1977",1688
"Nashville","1978",1772
"Nashville","1979",1716
"Nashville","1980",2027
"Nashville","1981",1594
"Nashville","1982",1662
"Nashville","1983",1713
"Nashville","1984",1438
"Nashville","1985",1588
"Nashville","1986",1953
"Nashville","1987",2350
"Nashville","1988",1954
"Nashville","1989",1608
"Nashville","1990",2164
"Nashville","1991",2648
"Nashville","1992",2668
"Nashville","1993",2709
"Nashville","1994",2652
"Nashville","1995",2675
"Nashville","1996",2910
"Nashville","1997",2583
"Nashville","1998",2223
"Nashville","1999",1960
"Nashville","2000",2250
"Nashville","2001",2504
"Nashville","2002",2080
"Nashville","2003",2197
"Nashville","2004",2125
"Nashville","2005",2440
"Nashville","2006",2425
"Nashville","2007",2516
"Nashville","2008",2377
"Nashville","2009",1971
"Nashville","2010",1802
"Nashville","2011",1889
"Nashville","2012",1716
"Nashville","2013",1613
"Nashville","2014",1529
"Nashville","2015",1847
"Nassau County","1975",686
"Nassau County","1976",659
"Nassau County","1977",734
"Nassau County","1978",676
"Nassau County","1979",773
"Nassau County","1980",926
"Nassau County","1981",1223
"Nassau County","1982",1139
"Nassau County","1983",951
"Nassau County","1984",1051
"Nassau County","1985",1000
"Nassau County","1986",1006
"Nassau County","1987",1010
"Nassau County","1988",1032
"Nassau County","1989",962
"Nassau County","1990",1014
"Nassau County","1991",1181
"Nassau County","1992",1381
"Nassau County","1993",1129
"Nassau County","1994",1007
"Nassau County","1995",877
"Nassau County","1996",835
"Nassau County","1997",752
"Nassau County","1998",678
"Nassau County","1999",815
"Nassau County","2000",705
"Nassau County","2001",753
"Nassau County","2002",749
"Nassau County","2003",774
"Nassau County","2004",724
"Nassau County","2005",833
"Nassau County","2006",866
"Nassau County","2007",748
"Nassau County","2008",748
"Nassau County","2009",754
"Nassau County","2010",672
"Nassau County","2011",713
"Nassau County","2012",723
"Nassau County","2013",706
"Nassau County","2014",550
"Nassau County","2015",555
"New Orleans","1975",3596
"New Orleans","1976",2600
"New Orleans","1977",3279
"New Orleans","1978",4164
"New Orleans","1979",5276
"New Orleans","1980",4647
"New Orleans","1981",4950
"New Orleans","1982",5106
"New Orleans","1983",4550
"New Orleans","1984",4705
"New Orleans","1985",4142
"New Orleans","1986",5165
"New Orleans","1987",3786
"New Orleans","1988",4729
"New Orleans","1989",5449
"New Orleans","1990",6048
"New Orleans","1991",5969
"New Orleans","1992",5341
"New Orleans","1993",5179
"New Orleans","1994",4822
"New Orleans","1995",5349
"New Orleans","1996",5700
"New Orleans","1997",3972
"New Orleans","1998",2965
"New Orleans","1999",2733
"New Orleans","2000",2421
"New Orleans","2001",2778
"New Orleans","2002",1994
"New Orleans","2003",2071
"New Orleans","2004",1836
"New Orleans","2005",756
"New Orleans","2006",761
"New Orleans","2007",1154
"New Orleans","2008",1085
"New Orleans","2009",932
"New Orleans","2010",953
"New Orleans","2011",1059
"New Orleans","2012",1065
"New Orleans","2013",1138
"New Orleans","2014",1470
"New Orleans","2015",1497
"New York City","1975",83190
"New York City","1976",86183
"New York City","1977",74404
"New York City","1978",74029
"New York City","1979",82572
"New York City","1980",100550
"New York City","1981",107475
"New York City","1982",95944
"New York City","1983",84043
"New York City","1984",79541
"New York City","1985",79532
"New York City","1986",80827
"New York City","1987",78890
"New York City","1988",86578
"New York City","1989",93377
"New York City","1990",100280
"New York City","1991",98512
"New York City","1992",91239
"New York City","1993",86001
"New York City","1994",72540
"New York City","1995",59278
"New York City","1996",49672
"New York City","1997",44708
"New York City","1998",39359
"New York City","1999",36091
"New York City","2000",32558
"New York City","2001",28202
"New York City","2002",27229
"New York City","2003",25989
"New York City","2004",24373
"New York City","2005",24722
"New York City","2006",23511
"New York City","2007",21787
"New York City","2008",22186
"New York City","2009",18597
"New York City","2010",19608
"New York City","2011",19773
"New York City","2012",20201
"New York City","2013",19170
"New York City","2014",16581
"New York City","2015",16946
"Newark","1975",4273
"Newark","1976",3834
"Newark","1977",3203
"Newark","1978",3682
"Newark","1979",6100
"Newark","1980",6845
"Newark","1981",7778
"Newark","1982",6393
"Newark","1983",5287
"Newark","1984",4660
"Newark","1985",5320
"Newark","1986",5464
"Newark","1987",4230
"Newark","1988",4424
"Newark","1989",5310
"Newark","1990",6021
"Newark","1991",5201
"Newark","1992",5389
"Newark","1993",5892
"Newark","1994",5775
"Newark","1995",5480
"Newark","1996",4219
"Newark","1997",3442
"Newark","1998",2846
"Newark","1999",2432
"Newark","2000",1923
"Newark","2001",1837
"Newark","2002",1567
"Newark","2003",1304
"Newark","2004",1345
"Newark","2005",1250
"Newark","2006",1288
"Newark","2007",1104
"Newark","2008",1387
"Newark","2009",1319
"Newark","2010",1604
"Newark","2011",1977
"Newark","2012",1976
"Newark","2013",2433
"Newark","2014",1922
"Newark","2015",1793
"Oakland","1975",3185
"Oakland","1976",2894
"Oakland","1977",3037
"Oakland","1978",2774
"Oakland","1979",3072
"Oakland","1980",4248
"Oakland","1981",3836
"Oakland","1982",3194
"Oakland","1983",3289
"Oakland","1984",3170
"Oakland","1985",3316
"Oakland","1986",3787
"Oakland","1987",3176
"Oakland","1988",3141
"Oakland","1989",3224
"Oakland","1990",3230
"Oakland","1991",3933
"Oakland","1992",4610
"Oakland","1993",4559
"Oakland","1994",3877
"Oakland","1995",3880
"Oakland","1996",3622
"Oakland","1997",3482
"Oakland","1998",2651
"Oakland","1999",2190
"Oakland","2000",1929
"Oakland","2001",2125
"Oakland","2002",2452
"Oakland","2003",2474
"Oakland","2004",2190
"Oakland","2005",2672
"Oakland","2006",3534
"Oakland","2007",3470
"Oakland","2008",3323
"Oakland","2009",2898
"Oakland","2010",2917
"Oakland","2011",3365
"Oakland","2012",4338
"Oakland","2013",4922
"Oakland","2014",3481
"Oakland","2015",3290
"Oklahoma City","1975",992
"Oklahoma City","1976",770
"Oklahoma City","1977",775
"Oklahoma City","1978",1023
"Oklahoma City","1979",1188
"Oklahoma City","1980",1251
"Oklahoma City","1981",1491
"Oklahoma City","1982",1801
"Oklahoma City","1983",1917
"Oklahoma City","1984",1603
"Oklahoma City","1985",1585
"Oklahoma City","1986",1484
"Oklahoma City","1987",1322
"Oklahoma City","1988",1365
"Oklahoma City","1989",1617
"Oklahoma City","1990",1398
"Oklahoma City","1991",1499
"Oklahoma City","1992",1836
"Oklahoma City","1993",1724
"Oklahoma City","1994",1748
"Oklahoma City","1995",1603
"Oklahoma City","1996",1478
"Oklahoma City","1997",1397
"Oklahoma City","1998",1272
"Oklahoma City","1999",1064
"Oklahoma City","2000",990
"Oklahoma City","2001",1090
"Oklahoma City","2002",1169
"Oklahoma City","2003",1381
"Oklahoma City","2004",1173
"Oklahoma City","2005",1193
"Oklahoma City","2006",1179
"Oklahoma City","2007",1397
"Oklahoma City","2008",1524
"Oklahoma City","2009",1249
"Oklahoma City","2010",1112
"Oklahoma City","2011",1232
"Oklahoma City","2012",1209
"Oklahoma City","2013",1191
"Oklahoma City","2014",1126
"Oklahoma City","2015",1192
"Omaha","1975",1211
"Omaha","1976",788
"Omaha","1977",809
"Omaha","1978",878
"Omaha","1979",954
"Omaha","1980",1053
"Omaha","1981",899
"Omaha","1982",743
"Omaha","1983",622
"Omaha","1984",530
"Omaha","1985",591
"Omaha","1986",627
"Omaha","1987",570
"Omaha","1988",710
"Omaha","1989",639
"Omaha","1990",604
"Omaha","1991",634
"Omaha","1992",400
"Omaha","1993",752
"Omaha","1994",918
"Omaha","1995",808
"Omaha","1996",782
"Omaha","1997",818
"Omaha","1998",948
"Omaha","1999",960
"Omaha","2000",875
"Omaha","2001",868
"Omaha","2002",998
"Omaha","2003",896
"Omaha","2004",824
"Omaha","2005",682
"Omaha","2006",848
"Omaha","2007",818
"Omaha","2008",949
"Omaha","2009",892
"Omaha","2010",723
"Omaha","2011",696
"Omaha","2012",815
"Omaha","2013",718
"Omaha","2014",723
"Omaha","2015",655
"Orlando","1975",304
"Orlando","1976",327
"Orlando","1977",274
"Orlando","1978",410
"Orlando","1979",496
"Orlando","1980",742
"Orlando","1981",885
"Orlando","1982",809
"Orlando","1983",768
"Orlando","1984",802
"Orlando","1985",902
"Orlando","1986",1229
"Orlando","1987",1029
"Orlando","1988",1229
"Orlando","1989",1189
"Orlando","1990",1449
"Orlando","1991",759
"Orlando","1992",808
"Orlando","1993",1107
"Orlando","1994",1095
"Orlando","1995",1048
"Orlando","1996",1080
"Orlando","1997",1262
"Orlando","1998",1123
"Orlando","1999",1096
"Orlando","2000",1044
"Orlando","2001",1086
"Orlando","2002",1034
"Orlando","2003",849
"Orlando","2004",962
"Orlando","2005",1204
"Orlando","2006",1528
"Orlando","2007",1534
"Orlando","2008",1320
"Orlando","2009",767
"Orlando","2010",672
"Orlando","2011",697
"Orlando","2012",603
"Orlando","2013",573
"Orlando","2014",620
"Orlando","2015",522
"Philadelphia","1975",10405
"Philadelphia","1976",7786
"Philadelphia","1977",6999
"Philadelphia","1978",7069
"Philadelphia","1979",8838
"Philadelphia","1980",10883
"Philadelphia","1981",10816
"Philadelphia","1982",10604
"Philadelphia","1983",10744
"Philadelphia","1984",9365
"Philadelphia","1985",9381
"Philadelphia","1986",9647
"Philadelphia","1987",9302
"Philadelphia","1988",8858
"Philadelphia","1989",10233
"Philadelphia","1990",12806
"Philadelphia","1991",13921
"Philadelphia","1992",11681
"Philadelphia","1993",11531
"Philadelphia","1994",12706
"Philadelphia","1995",13612
"Philadelphia","1996",13188
"Philadelphia","1997",11938
"Philadelphia","1998",11435
"Philadelphia","1999",11104
"Philadelphia","2000",10425
"Philadelphia","2001",9604
"Philadelphia","2002",8869
"Philadelphia","2003",9617
"Philadelphia","2004",9757
"Philadelphia","2005",10069
"Philadelphia","2006",10971
"Philadelphia","2007",10258
"Philadelphia","2008",9618
"Philadelphia","2009",9037
"Philadelphia","2010",8363
"Philadelphia","2011",8246
"Philadelphia","2012",7984
"Philadelphia","2013",7562
"Philadelphia","2014",6970
"Philadelphia","2015",6765
"Phoenix","1975",1938
"Phoenix","1976",1485
"Phoenix","1977",1594
"Phoenix","1978",2031
"Phoenix","1979",2337
"Phoenix","1980",3037
"Phoenix","1981",2696
"Phoenix","1982",2402
"Phoenix","1983",1971
"Phoenix","1984",2106
"Phoenix","1985",2425
"Phoenix","1986",2972
"Phoenix","1987",2287
"Phoenix","1988",2518
"Phoenix","1989",2615
"Phoenix","1990",3383
"Phoenix","1991",3448
"Phoenix","1992",3140
"Phoenix","1993",3437
"Phoenix","1994",3451
"Phoenix","1995",3693
"Phoenix","1996",3757
"Phoenix","1997",3725
"Phoenix","1998",3764
"Phoenix","1999",3819
"Phoenix","2000",3763
"Phoenix","2001",4629
"Phoenix","2002",4075
"Phoenix","2003",3676
"Phoenix","2004",3723
"Phoenix","2005",4237
"Phoenix","2006",4363
"Phoenix","2007",4942
"Phoenix","2008",4825
"Phoenix","2009",3757
"Phoenix","2010",3250
"Phoenix","2011",3324
"Phoenix","2012",3516
"Phoenix","2013",3233
"Phoenix","2014",2952
"Phoenix","2015",3020
"Pittsburgh","1975",2744
"Pittsburgh","1976",2419
"Pittsburgh","1977",2539
"Pittsburgh","1978",3046
"Pittsburgh","1979",2752
"Pittsburgh","1980",3252
"Pittsburgh","1981",4288
"Pittsburgh","1982",3841
"Pittsburgh","1983",4198
"Pittsburgh","1984",3212
"Pittsburgh","1985",3016
"Pittsburgh","1986",3253
"Pittsburgh","1987",2834
"Pittsburgh","1988",2537
"Pittsburgh","1989",2471
"Pittsburgh","1990",2319
"Pittsburgh","1991",2704
"Pittsburgh","1992",2989
"Pittsburgh","1993",2784
"Pittsburgh","1994",2469
"Pittsburgh","1995",2077
"Pittsburgh","1996",1565
"Pittsburgh","1997",1543
"Pittsburgh","1998",1578
"Pittsburgh","1999",1581
"Pittsburgh","2000",1585
"Pittsburgh","2001",1384
"Pittsburgh","2002",1616
"Pittsburgh","2003",1635
"Pittsburgh","2004",1602
"Pittsburgh","2005",1617
"Pittsburgh","2006",1722
"Pittsburgh","2007",1596
"Pittsburgh","2008",1541
"Pittsburgh","2009",1367
"Pittsburgh","2010",1190
"Pittsburgh","2011",1126
"Pittsburgh","2012",1134
"Pittsburgh","2013",956
"Pittsburgh","2014",986
"Pittsburgh","2015",858
"Portland","1975",1843
"Portland","1976",1913
"Portland","1977",1703
"Portland","1978",1774
"Portland","1979",1787
"Portland","1980",2249
"Portland","1981",3072
"Portland","1982",2811
"Portland","1983",2964
"Portland","1984",3042
"Portland","1985",3508
"Portland","1986",3887
"Portland","1987",3667
"Portland","1988",3632
"Portland","1989",2667
"Portland","1990",2541
"Portland","1991",2723
"Portland","1992",2686
"Portland","1993",2305
"Portland","1994",2344
"Portland","1995",2298
"Portland","1996",2057
"Portland","1997",1948
"Portland","1998",1639
"Portland","1999",1418
"Portland","2000",1446
"Portland","2001",1267
"Portland","2002",1294
"Portland","2003",1367
"Portland","2004",1287
"Portland","2005",1137
"Portland","2006",1297
"Portland","2007",1289
"Portland","2008",1132
"Portland","2009",1037
"Portland","2010",1005
"Portland","2011",917
"Portland","2012",950
"Portland","2013",917
"Portland","2014",847
"Portland","2015",0
"Prince George's County","1975",2147
"Prince George's County","1976",1941
"Prince George's County","1977",1933
"Prince George's County","1978",1998
"Prince George's County","1979",2276
"Prince George's County","1980",2888
"Prince George's County","1981",3345
"Prince George's County","1982",2682
"Prince George's County","1983",2453
"Prince George's County","1984",2094
"Prince George's County","1985",2211
"Prince George's County","1986",2116
"Prince George's County","1987",521
"Prince George's County","1988",2544
"Prince George's County","1989",3141
"Prince George's County","1990",3606
"Prince George's County","1991",3796
"Prince George's County","1992",3310
"Prince George's County","1993",3875
"Prince George's County","1994",3498
"Prince George's County","1995",3812
"Prince George's County","1996",3466
"Prince George's County","1997",2813
"Prince George's County","1998",2722
"Prince George's County","1999",2143
"Prince George's County","2000",2540
"Prince George's County","2001",3386
"Prince George's County","2002",3505
"Prince George's County","2003",3553
"Prince George's County","2004",3528
"Prince George's County","2005",4447
"Prince George's County","2006",3341
"Prince George's County","2007",3092
"Prince George's County","2008",2954
"Prince George's County","2009",2634
"Prince George's County","2010",2472
"Prince George's County","2011",2048
"Prince George's County","2012",1996
"Prince George's County","2013",1583
"Prince George's County","2014",1461
"Prince George's County","2015",1359
"Raleigh","1975",221
"Raleigh","1976",138
"Raleigh","1977",120
"Raleigh","1978",173
"Raleigh","1979",202
"Raleigh","1980",260
"Raleigh","1981",288
"Raleigh","1982",322
"Raleigh","1983",289
"Raleigh","1984",306
"Raleigh","1985",307
"Raleigh","1986",339
"Raleigh","1987",384
"Raleigh","1988",335
"Raleigh","1989",380
"Raleigh","1990",388
"Raleigh","1991",652
"Raleigh","1992",887
"Raleigh","1993",795
"Raleigh","1994",825
"Raleigh","1995",648
"Raleigh","1996",732
"Raleigh","1997",727
"Raleigh","1998",802
"Raleigh","1999",739
"Raleigh","2000",769
"Raleigh","2001",804
"Raleigh","2002",697
"Raleigh","2003",748
"Raleigh","2004",661
"Raleigh","2005",762
"Raleigh","2006",782
"Raleigh","2007",835
"Raleigh","2008",1025
"Raleigh","2009",832
"Raleigh","2010",643
"Raleigh","2011",680
"Raleigh","2012",665
"Raleigh","2013",605
"Raleigh","2014",679
"Raleigh","2015",678
"Sacramento","1975",1128
"Sacramento","1976",1187
"Sacramento","1977",1276
"Sacramento","1978",1582
"Sacramento","1979",1640
"Sacramento","1980",1604
"Sacramento","1981",1833
"Sacramento","1982",1543
"Sacramento","1983",1553
"Sacramento","1984",1645
"Sacramento","1985",2083
"Sacramento","1986",2214
"Sacramento","1987",1841
"Sacramento","1988",1612
"Sacramento","1989",1654
"Sacramento","1990",1790
"Sacramento","1991",2280
"Sacramento","1992",2322
"Sacramento","1993",2310
"Sacramento","1994",2292
"Sacramento","1995",2129
"Sacramento","1996",1874
"Sacramento","1997",1851
"Sacramento","1998",1689
"Sacramento","1999",1450
"Sacramento","2000",1412
"Sacramento","2001",1440
"Sacramento","2002",1734
"Sacramento","2003",1630
"Sacramento","2004",1914
"Sacramento","2005",2018
"Sacramento","2006",2188
"Sacramento","2007",2009
"Sacramento","2008",1761
"Sacramento","2009",1606
"Sacramento","2010",1491
"Sacramento","2011",1162
"Sacramento","2012",1211
"Sacramento","2013",1158
"Sacramento","2014",1000
"Sacramento","2015",1174
"Salt Lake City","1975",582
"Salt Lake City","1976",482
"Salt Lake City","1977",479
"Salt Lake City","1978",451
"Salt Lake City","1979",495
"Salt Lake City","1980",528
"Salt Lake City","1981",587
"Salt Lake City","1982",656
"Salt Lake City","1983",523
"Salt Lake City","1984",490
"Salt Lake City","1985",446
"Salt Lake City","1986",506
"Salt Lake City","1987",482
"Salt Lake City","1988",487
"Salt Lake City","1989",484
"Salt Lake City","1990",539
"Salt Lake City","1991",474
"Salt Lake City","1992",470
"Salt Lake City","1993",498
"Salt Lake City","1994",502
"Salt Lake City","1995",564
"Salt Lake City","1996",591
"Salt Lake City","1997",620
"Salt Lake City","1998",598
"Salt Lake City","1999",485
"Salt Lake City","2000",576
"Salt Lake City","2001",481
"Salt Lake City","2002",478
"Salt Lake City","2003",504
"Salt Lake City","2004",464
"Salt Lake City","2005",419
"Salt Lake City","2006",508
"Salt Lake City","2007",504
"Salt Lake City","2008",486
"Salt Lake City","2009",411
"Salt Lake City","2010",359
"Salt Lake City","2011",342
"Salt Lake City","2012",317
"Salt Lake City","2013",421
"Salt Lake City","2014",449
"Salt Lake City","2015",469
"San Antonio","1975",1730
"San Antonio","1976",1262
"San Antonio","1977",1460
"San Antonio","1978",1438
"San Antonio","1979",1689
"San Antonio","1980",1742
"San Antonio","1981",1835
"San Antonio","1982",2195
"San Antonio","1983",2403
"San Antonio","1984",2657
"San Antonio","1985",2683
"San Antonio","1986",3262
"San Antonio","1987",3253
"San Antonio","1988",2859
"San Antonio","1989",2710
"San Antonio","1990",2864
"San Antonio","1991",3778
"San Antonio","1992",3485
"San Antonio","1993",2979
"San Antonio","1994",2781
"San Antonio","1995",2345
"San Antonio","1996",2350
"San Antonio","1997",2036
"San Antonio","1998",1780
"San Antonio","1999",1674
"San Antonio","2000",1699
"San Antonio","2001",2146
"San Antonio","2002",2114
"San Antonio","2003",2060
"San Antonio","2004",2127
"San Antonio","2005",2154
"San Antonio","2006",2321
"San Antonio","2007",2445
"San Antonio","2008",2743
"San Antonio","2009",2683
"San Antonio","2010",2360
"San Antonio","2011",1785
"San Antonio","2012",1864
"San Antonio","2013",2192
"San Antonio","2014",1777
"San Antonio","2015",1986
"San Diego","1975",2199
"San Diego","1976",2271
"San Diego","1977",2481
"San Diego","1978",2530
"San Diego","1979",2884
"San Diego","1980",2986
"San Diego","1981",3323
"San Diego","1982",3142
"San Diego","1983",2550
"San Diego","1984",2616
"San Diego","1985",3062
"San Diego","1986",3985
"San Diego","1987",3452
"San Diego","1988",3204
"San Diego","1989",3585
"San Diego","1990",4331
"San Diego","1991",5331
"San Diego","1992",5321
"San Diego","1993",4651
"San Diego","1994",3845
"San Diego","1995",3244
"San Diego","1996",2998
"San Diego","1997",2604
"San Diego","1998",2121
"San Diego","1999",1812
"San Diego","2000",1777
"San Diego","2001",1729
"San Diego","2002",1627
"San Diego","2003",1626
"San Diego","2004",1650
"San Diego","2005",1862
"San Diego","2006",2164
"San Diego","2007",2095
"San Diego","2008",2019
"San Diego","2009",1905
"San Diego","2010",1636
"San Diego","2011",1456
"San Diego","2012",1517
"San Diego","2013",1456
"San Diego","2014",1318
"San Diego","2015",1378
"San Francisco","1975",5687
"San Francisco","1976",6628
"San Francisco","1977",5423
"San Francisco","1978",6509
"San Francisco","1979",6694
"San Francisco","1980",7527
"San Francisco","1981",7386
"San Francisco","1982",7153
"San Francisco","1983",5945
"San Francisco","1984",5222
"San Francisco","1985",5111
"San Francisco","1986",5085
"San Francisco","1987",4654
"San Francisco","1988",4867
"San Francisco","1989",5005
"San Francisco","1990",7053
"San Francisco","1991",7020
"San Francisco","1992",8278
"San Francisco","1993",8454
"San Francisco","1994",6624
"San Francisco","1995",6469
"San Francisco","1996",5539
"San Francisco","1997",4606
"San Francisco","1998",3927
"San Francisco","1999",3475
"San Francisco","2000",3456
"San Francisco","2001",3808
"San Francisco","2002",3208
"San Francisco","2003",3065
"San Francisco","2004",3041
"San Francisco","2005",3078
"San Francisco","2006",3858
"San Francisco","2007",3771
"San Francisco","2008",4108
"San Francisco","2009",3423
"San Francisco","2010",3180
"San Francisco","2011",3088
"San Francisco","2012",3484
"San Francisco","2013",4202
"San Francisco","2014",3224
"San Francisco","2015",3610
"San Jose","1975",887
"San Jose","1976",967
"San Jose","1977",1031
"San Jose","1978",1155
"San Jose","1979",1358
"San Jose","1980",1714
"San Jose","1981",2070
"San Jose","1982",1701
"San Jose","1983",1461
"San Jose","1984",1175
"San Jose","1985",1237
"San Jose","1986",1126
"San Jose","1987",944
"San Jose","1988",948
"San Jose","1989",995
"San Jose","1990",1034
"San Jose","1991",1328
"San Jose","1992",1231
"San Jose","1993",1186
"San Jose","1994",1109
"San Jose","1995",1209
"San Jose","1996",1098
"San Jose","1997",908
"San Jose","1998",901
"San Jose","1999",726
"San Jose","2000",677
"San Jose","2001",712
"San Jose","2002",827
"San Jose","2003",815
"San Jose","2004",785
"San Jose","2005",884
"San Jose","2006",1030
"San Jose","2007",1068
"San Jose","2008",1124
"San Jose","2009",1025
"San Jose","2010",976
"San Jose","2011",1101
"San Jose","2012",1208
"San Jose","2013",1095
"San Jose","2014",1072
"San Jose","2015",1140
"Seattle","1975",2103
"Seattle","1976",2163
"Seattle","1977",1764
"Seattle","1978",2257
"Seattle","1979",2071
"Seattle","1980",2253
"Seattle","1981",2344
"Seattle","1982",2271
"Seattle","1983",2032
"Seattle","1984",2386
"Seattle","1985",2843
"Seattle","1986",2792
"Seattle","1987",2959
"Seattle","1988",2709
"Seattle","1989",2448
"Seattle","1990",2695
"Seattle","1991",2761
"Seattle","1992",2577
"Seattle","1993",2670
"Seattle","1994",2536
"Seattle","1995",2213
"Seattle","1996",1963
"Seattle","1997",2081
"Seattle","1998",1728
"Seattle","1999",1642
"Seattle","2000",1653
"Seattle","2001",1594
"Seattle","2002",1576
"Seattle","2003",1509
"Seattle","2004",1588
"Seattle","2005",1607
"Seattle","2006",1667
"Seattle","2007",1522
"Seattle","2008",1612
"Seattle","2009",1792
"Seattle","2010",1429
"Seattle","2011",1418
"Seattle","2012",1436
